Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca,dom 12/01/25,Fluminense,Sampaio-RJ,4-3-3 ofensivo,Marcão,0:0,0,0,Empate
Campeonato Carioca,qua 15/01/25,Volta Redonda,Fluminense,4-3-3 ofensivo,Marcão,1:0,1,0,Volta Redonda
Campeonato Carioca,sáb 18/01/25,Fluminense,Maricá,4-2-3-1,Mano Menezes,1:1,1,1,Empate
Campeonato Carioca,qui 23/01/25,Portuguesa-RJ,Fluminense,4-2-3-1,Mano Menezes,1:3,1,3,Fluminense
Campeonato Carioca,dom 26/01/25,Madureira,Fluminense,4-4-2,Mano Menezes,0:0,0,0,Empate
Campeonato Carioca,qua 29/01/25,Botafogo,Fluminense,4-3-3 ofensivo,Mano Menezes,2:1,2,1,Botafogo
Campeonato Carioca,dom 02/02/25,Fluminense,Boavista,4-3-3 ofensivo,Mano Menezes,1:1,1,1,Empate
Campeonato Carioca,qua 05/02/25,Vasco da Gama,Fluminense,4-2-3-1,Mano Menezes,1:2,1,2,Fluminense
Campeonato Carioca,sáb 08/02/25,Fluminense,Flamengo,4-2-3-1,Mano Menezes,0:0,0,0,Empate
Campeonato Carioca,dom 16/02/25,Fluminense,Nova Iguaçu,4-2-3-1,Mano Menezes,2:0,2,0,Fluminense
Campeonato Carioca,dom 23/02/25,Fluminense,Bangu,4-3-3 ofensivo,Mano Menezes,3:2,3,2,Fluminense
Copa do Brasil,qua 26/02/25,Águia de Marabá,Fluminense,?,Mano Menezes,0:8,0,8,Fluminense
Campeonato Carioca,dom 02/03/25,Fluminense,Volta Redonda,4-2-3-1,Mano Menezes,4:0,4,0,Fluminense
Copa do Brasil,qua 05/03/25,Caxias,Fluminense,,Mano Menezes,1:2,1,2,Fluminense
Campeonato Carioca,dom 09/03/25,Volta Redonda,Fluminense,4-2-3-1,Mano Menezes,0:0,0,0,Empate
Campeonato Carioca,qua 12/03/25,Fluminense,Flamengo,4-2-3-1,Mano Menezes,1:2,1,2,Flamengo
